team_name_1,team_name_2,timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_pts,team_1_win_percentage,team_2_win_percentage,team_1_actual_points,team_2_actual_points,total_actual_points,moneyline_prediction,actual_winner,moneyline_result,total_o_u_points,o_u_prediction,o_u_result,,
NY Giants,Washington,11/14/23 11:38,19.817,22.392,42.209,0.428,0.572,31,19,50,Washington,NY Giants,Loss,37.5,Over,Win,,
Las Vegas,Miami,11/14/23 11:38,22.269,25.015,47.284,0.423,0.577,13,20,33,Miami,Miami,Win,48,Under,Win,,
Tennessee,Jacksonville,11/14/23 11:38,19.174,21.67,40.843,0.43,0.57,14,34,48,Jacksonville,Jacksonville,Win,39.5,Over,Win,,
Arizona,Houston,11/14/23 11:38,20.794,23.27,44.064,0.43,0.57,16,21,37,Houston,Houston,Win,47.5,Under,Win,,
LA Chargers,Green Bay,11/14/23 11:38,22.913,22.135,45.048,0.521,0.479,20,23,43,LA Chargers,Green Bay,Loss,44.5,Over,Loss,,
Chicago,Detroit,11/14/23 11:38,21.731,26.524,48.255,0.367,0.633,26,31,57,Detroit,Detroit,Win,47,Over,Win,,
Pittsburgh,Cleveland,11/14/23 11:38,19.118,21.372,40.49,0.436,0.564,10,13,23,Cleveland,Cleveland,Win,37,Over,Loss,,
Dallas,Carolina,11/14/23 11:38,26.328,18.849,45.177,0.701,0.299,33,10,43,Dallas,Dallas,Win,42.5,Over,Win,,
Tampa Bay,San Francisco,11/14/23 11:38,17.733,23.447,41.18,0.343,0.657,14,27,41,San Francisco,San Francisco,Win,41,Over,Tie,,
NY Jets,Buffalo,11/14/23 11:38,17.695,22.539,40.234,0.366,0.634,6,32,38,Buffalo,Buffalo,Win,40,Over,Loss,,
Seattle,LA Rams,11/14/23 11:38,22.849,21.08,43.929,0.549,0.451,16,17,33,Seattle,LA Rams,Loss,46,Under,Win,,
Minnesota,Denver,11/14/23 11:38,24.225,21.165,45.39,0.585,0.415,20,21,41,Minnesota,Denver,Loss,43.5,Over,Loss,,
Cincinnati,Baltimore,11/14/23 11:38,19.897,22.015,41.912,0.441,0.559,20,34,54,Baltimore,Baltimore,Win,46,Under,Loss,,
NY Giants,Washington,11/14/23 11:38,19.817,22.392,42.209,0.428,0.572,31,19,50,Washington,NY Giants,Loss,37.5,Over,Win,,
Las Vegas,Miami,11/14/23 11:38,22.269,25.015,47.284,0.423,0.577,13,20,33,Miami,Miami,Win,48,Under,Win,,
Tennessee,Jacksonville,11/14/23 11:38,19.174,21.67,40.843,0.43,0.57,14,34,48,Jacksonville,Jacksonville,Win,39.5,Over,Win,,
Arizona,Houston,11/14/23 11:38,20.794,23.27,44.064,0.43,0.57,16,21,37,Houston,Houston,Win,47.5,Under,Win,,
LA Chargers,Green Bay,11/14/23 11:38,22.913,22.135,45.048,0.521,0.479,20,23,43,LA Chargers,Green Bay,Loss,44.5,Over,Loss,,
Chicago,Detroit,11/14/23 11:38,21.731,26.524,48.255,0.367,0.633,26,31,57,Detroit,Detroit,Win,47,Over,Win,,
Pittsburgh,Cleveland,11/14/23 11:38,19.118,21.372,40.49,0.436,0.564,10,13,23,Cleveland,Cleveland,Win,37,Over,Loss,,
Dallas,Carolina,11/14/23 11:38,26.328,18.849,45.177,0.701,0.299,33,10,43,Dallas,Dallas,Win,42.5,Over,Win,,
Tampa Bay,San Francisco,11/14/23 11:38,17.733,23.447,41.18,0.343,0.657,14,27,41,San Francisco,San Francisco,Win,41,Over,Tie,,
